id,job_title,rating,company_name,work_site,work_site_catagory,contract_type,salary,city,state,min_salary,max_salary,salary_type,average_salary,yearly_salary,Category,Range
173,Research Analyst (Augmented/Mixed/Virtual Reality Researcher),4.0,CNA,Remote,2.0,Full-Time,"$100,000 - $125,000 a year - Full-time",,,100000.0,125000.0,per year,112500.0,112500.0,3.0,$100001 - $150000
174,Product Manager - Marchex Platform Services (MPS),3.4,Marchex Inc.,Remote,2.0,Full-Time,"$100,000 - $120,000 a year - Full-time",,,100000.0,120000.0,per year,110000.0,110000.0,3.0,$100001 - $150000
175,Bixal,3.4,,Remote,2.0,Full-Time,N/A,N/A,,,,,,,,
176,Upstream Content & Analytics Technical Specialist,3.9,S&P Global,"On-Site,Remote",1.0,Full-Time,"$75,000 - $100,000 a year",Austin,TX,75000.0,100000.0,per year,87500.0,87500.0,2.0,$50001 - $100000
177,Pinterest,3.8,,Remote,2.0,Full-Time,"$148,049 - $304,496 a year",N/A,,148049.0,304496.0,per year,226272.5,226272.5,5.0,$200001 - $250000
178,Logistics Management Institute,3.9,,Remote,2.0,Full-Time,N/A,N/A,,,,,,,,
179,Senior Technical Product Manager for Data Analytics & Digital Product - Remote,3.2,CVS Health,"On-Site,Remote",1.0,Full-Time,"$106,605 - $284,280 a year - Full-time",Boston,MA,106605.0,284280.0,per year,195442.5,195442.5,4.0,$150001 - $200000
180,Auditor Technical Trainer (Outpatient/Specialty Audits),3.3,Cotiviti,Remote,2.0,Full-Time,"$99,000 a year - Full-time",,,99000.0,,per year,99000.0,99000.0,2.0,$50001 - $100000
182,Senior Data Scientist,3.9,Atlassian,"On-Site,Remote",1.0,Full-Time,"$145,300 - $233,400 a year - Full-time",San Francisco,CA,145300.0,233400.0,per year,189350.0,189350.0,4.0,$150001 - $200000
183,Secondary Marketing Analytics Leader,3.7,City National Bank,"On-Site,Remote",1.0,Full-Time,"$87,027 - $138,965 a year",Austin,TX,87027.0,138965.0,per year,112996.0,112996.0,3.0,$100001 - $150000
188,"Machine Learning Platform Product Manager, Inference",3.9,Netflix,"On-Site,Remote",1.0,Full-Time,"$120,000 - $515,000 a year - Full-time",Los Gatos,CA,120000.0,515000.0,per year,317500.0,317500.0,7.0,$300001 - $400000
192,Medicaid Payment & Financing Researcher/Sr. Researcher (Remote Eligible),3.8,Mathematica Policy Research,"On-Site,Remote",1.0,Full-Time,"$100,000 - $150,000 a year - Full-time",Washington,DC,100000.0,150000.0,per year,125000.0,125000.0,3.0,$100001 - $150000
193,Analytics Visualization Developer - CDH - Remote,,Mayo Clinic,"On-Site,Remote",1.0,Full-Time,"$80,537.60 - $112,777.60 a year",Rochester,MN,80537.6,112777.6,per year,96657.6,96657.6,2.0,$50001 - $100000
197,Data Product Manager (Hybrid/Remote),3.8,UMB Financial Corporation,"On-Site,Remote",1.0,Full-Time,"$83,200 - $214,560 a year - Full-time",Kansas City,MO,83200.0,214560.0,per year,148880.0,148880.0,3.0,$100001 - $150000
198,Data Engineering & Analytics Manager,,Underline Infrastructure,"On-Site,Remote",1.0,Full-Time,"$140,000 - $170,000 a year - Full-time",Dallas,TX,140000.0,170000.0,per year,155000.0,155000.0,4.0,$150001 - $200000
199,Regulatory Operations Reporting Analyst,3.1,WellSense Health Plan,Remote,2.0,Full-Time,N/A,,,,,,,,,
200,Machine Learning Infrastructure Engineer,4.0,Flip Fit,Remote,2.0,Full-Time,N/A,,,,,,,,,
201,Senior Data Scientist,,Canoe Intelligence,"On-Site,Remote",1.0,Full-Time,"$140,000 - $180,000 a year",New York,NY,140000.0,180000.0,per year,160000.0,160000.0,4.0,$150001 - $200000
202,Data Digital Transformation Lead,4.1,Carnival Cruise Line,"On-Site,Remote",1.0,Full-Time,N/A,Miami,FL,,,,,,,
203,"Senior Data Analyst, EAB Seramount Consulting",3.8,EAB,Remote,2.0,Full-Time,"$62,500 - $90,000 a year - Full-time",,,62500.0,90000.0,per year,76250.0,76250.0,2.0,$50001 - $100000
204,GTS Global Solution Architect (ML/AI),4.1,Splunk,Remote,2.0,Full-Time,"$144,960 - $249,150 a year - Full-time",,,144960.0,249150.0,per year,197055.0,197055.0,4.0,$150001 - $200000
205,AI Solutions Lead,3.5,The Standard,"On-Site,Remote",1.0,Full-Time,"$104,750 - $178,000 a year - Full-time",Portland,OR,104750.0,178000.0,per year,141375.0,141375.0,3.0,$100001 - $150000
206,Client Solutions Partner,3.4,Quantiphi,Remote,2.0,Full-Time,N/A,,,,,,,,,
207,"Senior Director, Artificial Intelligence and Machine Learning Operations",3.1,Fortrea,"On-Site,Remote",1.0,Full-Time,"$135,000 - $195,000 a year - Full-time",Durham,NC,135000.0,195000.0,per year,165000.0,165000.0,4.0,$150001 - $200000
208,"Product Manager, Commerce Algorithms",3.9,Netflix,"On-Site,Remote",1.0,Full-Time,"$240,000 - $725,000 a year - Full-time",Los Gatos,CA,240000.0,725000.0,per year,482500.0,482500.0,8.0,$400001 - $500000
209,Associate Director Business Intelligence - Remote,,Optum,"On-Site,Remote",1.0,Full-Time,"$104,700 - $190,400 a year",Brentwood,TN,104700.0,190400.0,per year,147550.0,147550.0,3.0,$100001 - $150000
210,"Senior Product Manager, Visual AI",3.8,Pinterest,"On-Site,Remote",1.0,Full-Time,"$123,470 - $254,024 a year",San Francisco,CA,123470.0,254024.0,per year,188747.0,188747.0,4.0,$150001 - $200000
212,Senior AI and Machine Learning Engineer,3.8,Hewlett Packard Enterprise,"On-Site,Remote",1.0,Full-Time,"$128,000 - $295,000 a year - Full-time",Colorado,,128000.0,295000.0,per year,211500.0,211500.0,5.0,$200001 - $250000
213,"Sales Engineer, West",2.3,Dataiku,Remote,2.0,Full-Time,"$140,000 - $175,000 a year",,,140000.0,175000.0,per year,157500.0,157500.0,4.0,$150001 - $200000
214,Information Security Architect - AI,3.3,Cotiviti,Remote,2.0,Full-Time,"$150,000 - $180,000 a year - Full-time",,,150000.0,180000.0,per year,165000.0,165000.0,4.0,$150001 - $200000
215,Data Architect,2.9,"Somatus, Inc.","On-Site,Remote",1.0,Full-Time,"Up to $150,000 a year - Full-time",McLean,VA,150000.0,,per year,150000.0,150000.0,3.0,$100001 - $150000
216,Data Scientist,3.4,Serco North America,"On-Site,Remote",1.0,Full-Time,N/A,Huntsville,AL,,,,,,,
217,"1099 Drone Pilot - Amarillo, Tx",2.9,Bees360 Inc,Remote,2.0,Contract,N/A,,,,,,,,,
218,Senior Data Scientist,2.3,Inotiv,"On-Site,Remote",1.0,Full-Time,N/A,Raleigh,NC,,,,,,,
219,Senior AI/ML Cybersecurity Engineer - Remote,3.3,Optum,"On-Site,Remote",1.0,Full-Time,"$88,000 - $173,200 a year - Full-time",Eden Prairie,MN,88000.0,173200.0,per year,130600.0,130600.0,3.0,$100001 - $150000
220,Senior Data Scientist,,AllStars-IT,Remote,2.0,Full-Time,N/A,,,,,,,,,
221,Optimization Specialist,3.3,Quad,Remote,2.0,Full-Time,N/A,,,,,,,,,
222,Compliance Model Review Advisor (Remote),3.4,M&T Bank,"On-Site,Remote",1.0,Full-Time,"$97,869.52 - $163,115.87 a year - Full-time",Clanton,AL,97869.52,163115.87,per year,130492.695,130492.695,3.0,$100001 - $150000
223,Requirements Analyst,3.5,"Systems Planning and Analysis, Inc.",Remote,2.0,Full-Time,N/A,,,,,,,,,
227,Learning Optimization PM (remote),3.3,GP Strategies Corporation,"On-Site,Remote",1.0,Full-Time,N/A,Columbia,MD,,,,,,,
228,Senior Machine Learning Engineer - Risk/Fraud,,Step Mobile,"On-Site,Remote",1.0,Full-Time,N/A,Palo Alto,CA,,,,,,,
229,Generative AI Advisor,3.5,Chenega Corporation,"On-Site,Remote",1.0,Full-Time,"$109,000 - $150,000 a year - Full-time",Washington,DC,109000.0,150000.0,per year,129500.0,129500.0,3.0,$100001 - $150000
230,Senior Data Scientist,3.2,Comscore,Remote,2.0,Full-Time,N/A,,,,,,,,,
231,GTS Global Solution Architect (ML/AI Strategic Content),4.1,Splunk,Remote,2.0,Full-Time,"$127,360 - $218,900 a year - Full-time",,,127360.0,218900.0,per year,173130.0,173130.0,4.0,$150001 - $200000
232,Statistician 3,4.0,E. & J. Gallo,Remote,2.0,Full-Time,"$105,400 - $158,000 a year - Full-time",,,105400.0,158000.0,per year,131700.0,131700.0,3.0,$100001 - $150000
233,Audit Data Analytics Lead,3.4,Webster Bank,"On-Site,Remote",1.0,Full-Time,N/A,Southington,CT,,,,,,,
234,Senior Product Manager - AI Data Foundation (Remote),,Home Depot / THD,"On-Site,Remote",1.0,Full-Time,"$90,000 - $190,000 a year",Atlanta,GA,90000.0,190000.0,per year,140000.0,140000.0,3.0,$100001 - $150000
235,Marketing & Web Analytics Manager,4.2,Abilene Christian University,Remote,2.0,Full-Time,N/A,,,,,,,,,
236,AI Architect - USA Remote,3.5,Cepheid,"On-Site,Remote",1.0,Full-Time,"$130,000 - $140,000 a year - Full-time",Austin,TX,130000.0,140000.0,per year,135000.0,135000.0,3.0,$100001 - $150000
237,Sr Revenue Data Analyst,3.7,Genesys,Remote,2.0,Full-Time,N/A,,,,,,,,,
238,Senior Director of Controls & Compliance New,3.3,Resident Home,Remote,2.0,Full-Time,"$150,000 - $200,000 a year",,,150000.0,200000.0,per year,175000.0,175000.0,4.0,$150001 - $200000
239,Sr. Machine Learning Engineer,3.4,O'Reilly Media,Remote,2.0,Full-Time,"$140,000 - $160,000 a year",,,140000.0,160000.0,per year,150000.0,150000.0,3.0,$100001 - $150000
240,"Associate, Healthcare & Analytics Strategy Consulting (MASC, Hybrid)",3.7,IQVIA,Remote,2.0,Full-Time,"$80,100 - $133,500 a year - Full-time",,,80100.0,133500.0,per year,106800.0,106800.0,3.0,$100001 - $150000
242,Mid Data Architect,3.3,Steampunk,"On-Site,Remote",1.0,Full-Time,"$125,000 - $175,000 a year",McLean,VA,125000.0,175000.0,per year,150000.0,150000.0,3.0,$100001 - $150000
243,"BIOINFORMATICIAN II, DCRI",4.0,Duke University,"On-Site,Remote",1.0,Full-Time,N/A,Durham,NC,,,,,,,
244,Brand Partnerships Insights and Measurement Partner,4.0,Roblox,"On-Site,Remote",1.0,Full-Time,"$158,690 - $192,590 a year",San Mateo,CA,158690.0,192590.0,per year,175640.0,175640.0,4.0,$150001 - $200000
245,Manager of Data Science - Media Network (REMOTE),3.4,DICK'S Sporting Goods,Remote,2.0,Full-Time,"$95,200 - $158,800 a year - Full-time",,,95200.0,158800.0,per year,127000.0,127000.0,3.0,$100001 - $150000
246,Product Analyst - 270/271 Eligibility Transactions,3.8,Softrams,Remote,2.0,Full-Time,N/A,,,,,,,,,
247,Data Scientist- Mid,3.8,Intelligent Waves LLC,"On-Site,Remote",1.0,Full-Time,N/A,Tysons,VA,,,,,,,
248,"Senior Manager, ML/AI",,Lovelytics,Remote,2.0,Full-Time,"$135,000 - $190,000 a year - Full-time",,,135000.0,190000.0,per year,162500.0,162500.0,4.0,$150001 - $200000
249,Lead AI/ML Scientist - Remote,,Optum,"On-Site,Remote",1.0,Full-Time,"$104,700 - $190,400 a year",Eden Prairie,MN,104700.0,190400.0,per year,147550.0,147550.0,3.0,$100001 - $150000
250,"Manager, IT Data Management & Analytics",3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
251,"Postdoc, Computer Vision – AI/ML Radiology",4.2,Johnson & Johnson,"On-Site,Remote",1.0,Full-Time,"$95,000 a year",New Brunswick,NJ,95000.0,,per year,95000.0,95000.0,2.0,$50001 - $100000
252,Actuarial Data Scientist,3.7,Employers,Remote,2.0,Full-Time,"$90,000 - $130,000 a year",,,90000.0,130000.0,per year,110000.0,110000.0,3.0,$100001 - $150000
253,Senior Director of Measurement/Analytics - REMOTE,,Strategic Resolution Experts (SRE),Remote,2.0,Full-Time,"$80,000 - $180,000 a year",,,80000.0,180000.0,per year,130000.0,130000.0,3.0,$100001 - $150000
254,Clinical Research Director,3.1,Teladoc Health,Remote,2.0,Full-Time,"$20,000 - $170,000 a year - Full-time",,,20000.0,170000.0,per year,95000.0,95000.0,2.0,$50001 - $100000
255,Sr Operations Research Scientist - Last Mile Fulfillment(Remote Or Hybrid),3.5,Target,"On-Site,Remote",1.0,Full-Time,"$93,800 - $168,800 a year - Full-time",Minneapolis,MN,93800.0,168800.0,per year,131300.0,131300.0,3.0,$100001 - $150000
257,Machine Learning Engineer,3.3,Kiddom,Remote,2.0,Full-Time,"$150,000 - $200,000 a year - Full-time",,,150000.0,200000.0,per year,175000.0,175000.0,4.0,$150001 - $200000
258,MLOps Engineer,3.5,Datasite,Remote,2.0,Full-Time,"$100,000 - $160,000 a year - Full-time",,,100000.0,160000.0,per year,130000.0,130000.0,3.0,$100001 - $150000
259,AI/ML Researcher,2.8,Sema4.ai,"On-Site,Remote",1.0,Full-Time,N/A,San Francisco,CA,,,,,,,
260,Senior AI/ML Scientist - Remote,3.3,Optum,"On-Site,Remote",1.0,Full-Time,"$88,000 - $173,200 a year - Full-time",Eden Prairie,MN,88000.0,173200.0,per year,130600.0,130600.0,3.0,$100001 - $150000
261,Finance Manager,3.3,Resident Home,Remote,2.0,Full-Time,"$115,000 - $140,000 a year",,,115000.0,140000.0,per year,127500.0,127500.0,3.0,$100001 - $150000
262,"Consultant - Commercial Solutions & Insights Hub (CSIH), Analytics Pillar",3.7,IQVIA,Remote,2.0,Full-Time,"$90,800 - $151,300 a year - Full-time",,,90800.0,151300.0,per year,121050.0,121050.0,3.0,$100001 - $150000
263,"Senior Machine Learning Engineer, Checkout Underwriting",3.5,Affirm,Remote,2.0,Full-Time,"$169,000 - $240,000 a year",,,169000.0,240000.0,per year,204500.0,204500.0,5.0,$200001 - $250000
264,Credit Risk Sr Professional,3.4,Citizens,"On-Site,Remote",1.0,Full-Time,N/A,Frisco,TX,,,,,,,
265,"Technical Lead, Business Intelligence",4.3,eXp Realty,Remote,2.0,Full-Time,N/A,,,,,,,,,
266,PALANTIR Senior Data Engineer- Remote,3.9,Cognizant,"On-Site,Remote",1.0,Full-Time,"$101,000 - $130,000 a year - Full-time",Stillwater,MN,101000.0,130000.0,per year,115500.0,115500.0,3.0,$100001 - $150000
267,Staff Research Scientist,3.3,Upstart,"On-Site,Remote",1.0,Full-Time,"$174,900 - $242,000 a year",San Mateo,CA,174900.0,242000.0,per year,208450.0,208450.0,5.0,$200001 - $250000
268,Staff Data Engineer,3.1,BlackLine,Remote,2.0,Full-Time,"$138,000 - $184,000 a year",,,138000.0,184000.0,per year,161000.0,161000.0,4.0,$150001 - $200000
269,"Java / Python Developer, Legal Innovation and Technology Lab – Clinical Fellow (Remote)",4.1,Suffolk University,"On-Site,Remote",1.0,Full-Time,N/A,Boston,MA,,,,,,,
270,"Associate Vice President, IT Transformation and Enablement",3.6,Humana,"On-Site,Remote",1.0,Full-Time,"$199,400 - $274,400 a year - Full-time",Washington,DC,199400.0,274400.0,per year,236900.0,236900.0,5.0,$200001 - $250000
272,Post Doctoral Fellow - Digital Health & Therapeutics in Mental Health,4.0,"BI Pharmaceuticals, Inc.","On-Site,Remote",1.0,Full-Time,N/A,Ridgefield,CT,,,,,,,
273,Senior Machine Learning Engineer,3.3,Orbis,"On-Site,Remote",1.0,Full-Time,"$210,000 - $260,000 a year - Permanent",New York,NY,210000.0,260000.0,per year,235000.0,235000.0,5.0,$200001 - $250000
274,"Project Manager, Senior",3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
275,Principal Data Scientist,3.5,The Standard,"On-Site,Remote",1.0,Full-Time,"$163,500 - $240,000 a year - Full-time",Portland,OR,163500.0,240000.0,per year,201750.0,201750.0,5.0,$200001 - $250000
276,Principal Data Scientist,3.3,iHerb,"On-Site,Remote",1.0,Full-Time,"$176,534 - $264,801 a year",Irvine,CA,176534.0,264801.0,per year,220667.5,220667.5,5.0,$200001 - $250000
277,AI Software Engineer,4.2,Yale University,"On-Site,Remote",1.0,Full-Time,N/A,New Haven,CT,,,,,,,
278,Engineering Manager - Applied AI,3.8,Zynga,Remote,2.0,Full-Time,"$100,900 - $182,780 a year",,,100900.0,182780.0,per year,141840.0,141840.0,3.0,$100001 - $150000
279,Selection Consultants & Advisory Firms Director,3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
280,"Director, Data Integration",3.0,Arcadia.io,Remote,2.0,Full-Time,N/A,,,,,,,,,
281,Senior Data Scientist - NLP,3.8,Analytica,Remote,2.0,Full-Time,N/A,,,,,,,,,
282,Senior Research Scientist,3.4,Upstart,Remote,2.0,Full-Time,"$149,800 - $207,000 a year",,,149800.0,207000.0,per year,178400.0,178400.0,4.0,$150001 - $200000
283,Associate Director Research Analytics,3.6,Advocate Aurora Health,"On-Site,Remote",1.0,Full-Time,N/A,Allenton,WI,,,,,,,
284,"Sr Director - Banking, Financial Services & AI Strategy (Remote US)",3.7,Gartner,Remote,2.0,Full-Time,"$150,000 - $190,000 a year",N/A,,150000.0,190000.0,per year,170000.0,170000.0,4.0,$150001 - $200000
285,Senior Machine Learning Engineer - Remote India,,LeewayHertz,"On-Site,Remote",1.0,Full-Time,N/A,San Francisco,CA,,,,,,,
287,AI/ML Architect - USA Remote,3.6,Beckman Coulter Diagnostics,"On-Site,Remote",1.0,Full-Time,"$140,000 - $165,000 a year - Full-time",New York,NY,140000.0,165000.0,per year,152500.0,152500.0,4.0,$150001 - $200000
288,Adjunct Professor of Data Science,,Houston Christian University,Remote,2.0,Full-Time,N/A,,,,,,,,,
289,"Senior Director, Data Governance",3.9,Alzheimer's Association,"On-Site,Remote",1.0,Full-Time,"$140,000 - $175,000 a year - Full-time",Chicago,IL,140000.0,175000.0,per year,157500.0,157500.0,4.0,$150001 - $200000
302,"Deputy General Counsel, Privacy",3.9,Atlassian,"On-Site,Remote",1.0,Full-Time,"$324,000 - $400,000 a year - Full-time",San Francisco,CA,324000.0,400000.0,per year,362000.0,362000.0,7.0,$300001 - $400000
303,Analytics Engineer,2.5,Evolve Vacation Rentals,Remote,2.0,Full-Time,"$120,000 - $150,000 a year",,,120000.0,150000.0,per year,135000.0,135000.0,3.0,$100001 - $150000
304,Data Modeler,3.8,Fortune Brands,"On-Site,Remote",1.0,Full-Time,"$90,000 - $110,000 a year - Full-time",North Olmsted,OH,90000.0,110000.0,per year,100000.0,100000.0,2.0,$50001 - $100000
305,"Sr Staff ML Engineer, Inclusive AI",3.8,Pinterest,Remote,2.0,Full-Time,"$204,754 - $421,578 a year",,,204754.0,421578.0,per year,313166.0,313166.0,7.0,$300001 - $400000
306,HP Sr Business Data Analyst,3.7,Point32Health,Remote,2.0,Full-Time,N/A,,,,,,,,,
307,"Principal Architect, Machine Learning",,Lovelytics,Remote,2.0,Full-Time,N/A,,,,,,,,,
308,Consultant for CBP Intelligence & Investigati,,Council For Logistics Research Inc,"On-Site,Remote",1.0,Full-Time,N/A,Washington,DC,,,,,,,
309,"Vice President, Research & Analytics",4.1,Kilroy Realty,"On-Site,Remote",1.0,Full-Time,"$225,000 - $240,000 a year",Los Angeles,CA,225000.0,240000.0,per year,232500.0,232500.0,5.0,$200001 - $250000
310,"Team Lead, Design",3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
311,Senior Research Scientist,3.3,"Upstart Network, Inc.",Remote,2.0,Full-Time,"$149,800 - $207,000 a year",,,149800.0,207000.0,per year,178400.0,178400.0,4.0,$150001 - $200000
312,Senior Data Engineer (Remote - US),,Energy Solutions - USA,"On-Site,Remote",1.0,Full-Time,"$135,000 - $165,000 a year",Oakland,CA,135000.0,165000.0,per year,150000.0,150000.0,3.0,$100001 - $150000
313,"Sr Machine Learning Engineer, Inclusive / Responsible AI",3.8,Pinterest,"On-Site,Remote",1.0,Full-Time,"$141,990 - $292,128 a year",San Francisco,CA,141990.0,292128.0,per year,217059.0,217059.0,5.0,$200001 - $250000
315,"Product Manager, Senior",3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
317,"Staff Analyst, Credit Analytics",3.3,"Upstart Network, Inc.",Remote,2.0,Full-Time,"$157,000 - $217,000 a year",,,157000.0,217000.0,per year,187000.0,187000.0,4.0,$150001 - $200000
318,Mgr - Engineering - Data Engineering & Marketplace,3.7,Thrivent,Remote,2.0,Full-Time,"$133,386 - $180,464 a year - Full-time",,,133386.0,180464.0,per year,156925.0,156925.0,4.0,$150001 - $200000
320,Sr ML engineers,,Intellibee,Remote,2.0,Full-Time,N/A,,,,,,,,,
321,"Software Engineer L7, Growth Engineering",3.9,Netflix,Remote,2.0,Full-Time,N/A,,,,,,,,,
323,Agile Product Owner Senior Advisor- Hybrid,3.6,The Cigna Group,"On-Site,Remote",1.0,Full-Time,N/A,Raleigh,NC,,,,,,,
326,Principal Applied Scientist,3.9,Cardlytics,Remote,2.0,Full-Time,N/A,,,,,,,,,
327,Vice President; Quantitative Finance Analyst,3.8,Bank of America,"On-Site,Remote",1.0,Full-Time,"$131,800 - $150,000 a year - Full-time",Atlanta,GA,131800.0,150000.0,per year,140900.0,140900.0,3.0,$100001 - $150000
329,Lead AI/ML Scientist,3.5,Datasite,Remote,2.0,Full-Time,"$175,000 - $300,000 a year - Full-time",,,175000.0,300000.0,per year,237500.0,237500.0,5.0,$200001 - $250000
332,"Sr. Data Scientist, Sales Analytics",2.7,Rivian,Remote,2.0,Full-Time,"$129,300 - $183,600 a year - Full-time",,,129300.0,183600.0,per year,156450.0,156450.0,4.0,$150001 - $200000
333,"Account Manager, Senior - Warehouse Management",3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
334,"Manager, Machine Learning",3.3,"Upstart Network, Inc.",Remote,2.0,Full-Time,"$174,900 - $242,000 a year",,,174900.0,242000.0,per year,208450.0,208450.0,5.0,$200001 - $250000
335,Medicare Risk Adjustment Analytics Advisor,3.6,The Cigna Group,Remote,2.0,Full-Time,"$95,200 - $158,600 a year - Full-time",,,95200.0,158600.0,per year,126900.0,126900.0,3.0,$100001 - $150000
336,Senior Statistician,3.3,Lumanity,Remote,2.0,Full-Time,"$130,000 a year",,,130000.0,,per year,130000.0,130000.0,3.0,$100001 - $150000
337,"Director, AI and Digital Foundry",3.3,Greif,Remote,2.0,Full-Time,"$175,000 - $205,000 a year - Full-time",,,175000.0,205000.0,per year,190000.0,190000.0,4.0,$150001 - $200000
338,"Director, Product Marketing Strategy-Supply Chain",3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
339,Senior Data Scientist - Asset Management Group,,PNC Financial Services Group,"On-Site,Remote",1.0,Full-Time,N/A,Pittsburgh,PA,,,,,,,
340,"Data Scientist, Monetization (Technical Leadership)",4.1,Meta,Remote,2.0,Full-Time,"$206,000 - $281,000 a year",,,206000.0,281000.0,per year,243500.0,243500.0,5.0,$200001 - $250000
341,"Director, Generative AI - Agents and Tooling - People Leader (Remote Eligible)",3.9,Capital One,"On-Site,Remote",1.0,Full-Time,N/A,San Francisco,CA,,,,,,,
342,Data Analyst - Senior,,"TRIAEM, LLC","On-Site,Remote",1.0,Full-Time,N/A,Sterling,VA,,,,,,,
343,Senior Credit Analyst,,Step Mobile,"On-Site,Remote",1.0,Full-Time,N/A,Palo Alto,CA,,,,,,,
344,"Senior Director, RWD Analytics and Innovation",4.5,Citeline,Remote,2.0,Full-Time,"$150,000 - $200,000 a year - Full-time",,,150000.0,200000.0,per year,175000.0,175000.0,4.0,$150001 - $200000
345,"Artificial Intelligence Scientist, Advanced",3.7,Zebra Technologies,"On-Site,Remote",1.0,Full-Time,"$133,000 - $199,400 a year",Frisco,TX,133000.0,199400.0,per year,166200.0,166200.0,4.0,$150001 - $200000
347,Product Pricing Analyst,4.0,BMC Software,"On-Site,Remote",1.0,Full-Time,N/A,Houston,TX,,,,,,,
348,"Associate Director R&D Quality Excellence, Analytics, and Innovation",3.2,BeiGene,Remote,2.0,Full-Time,"$134,400 - $184,400 a year - Full-time",,,134400.0,184400.0,per year,159400.0,159400.0,4.0,$150001 - $200000
349,Senior Data Analyst,4.2,"D&G Support Services, LLC","On-Site,Remote",1.0,Full-Time,N/A,Arlington,VA,,,,,,,
350,Quantitative Analytics / Analysis Manager (Remote),,CEDENT,"On-Site,Remote",1.0,Full-Time,N/A,Cleveland,OH,,,,,,,
351,Data Services Senior Engagement Lead,3.9,ManTech,"On-Site,Remote",1.0,Full-Time,"$183,300 - $315,100 a year - Full-time",Herndon,VA,183300.0,315100.0,per year,249200.0,249200.0,5.0,$200001 - $250000
352,Senior Principal Data Scientist,3.9,Atlassian,"On-Site,Remote",1.0,Full-Time,"$208,400 - $308,800 a year - Full-time",Seattle,WA,208400.0,308800.0,per year,258600.0,258600.0,6.0,$250001 - $300000
353,"Director, Advanced Analytics & Insights",,Argenx,Remote,2.0,Full-Time,N/A,,,,,,,,,
354,Principal Data Scientist,,Magnify Technologies,"On-Site,Remote",1.0,Full-Time,N/A,Seattle,WA,,,,,,,
355,Autonomy Engineer - Simulations,3.7,May Mobility,Remote,2.0,Full-Time,"$157,000 - $180,000 a year",,,157000.0,180000.0,per year,168500.0,168500.0,4.0,$150001 - $200000
356,Climate Science Expertise Sought for AI Training,2.1,Outlier,Remote,2.0,Contract,"$30 - $50 an hour - Contract, Freelance",,,30.0,50.0,per hour,40.0,83200.0,2.0,$50001 - $100000
357,Lead Product Owner – Claims (Remote),3.3,Commonwealth Care Alliance,"On-Site,Remote",1.0,Full-Time,N/A,Boston,MA,,,,,,,
358,Director,4.1,Youngstown State University,"On-Site,Remote",1.0,Full-Time,"$71,628 - $90,200 a year",Youngstown,OH,71628.0,90200.0,per year,80914.0,80914.0,2.0,$50001 - $100000
359,"Series B, Data Analytics Platform: Security Engineer",,StackedSP Inc,Remote,2.0,Full-Time,"$175,000 - $250,000 a year - Full-time",N/A,,175000.0,250000.0,per year,212500.0,212500.0,5.0,$200001 - $250000
360,Senior Marketing Scientist,3.2,GEICO,"On-Site,Remote",1.0,Full-Time,"$100,000 - $204,500 a year - Full-time",San Jose,CA,100000.0,204500.0,per year,152250.0,152250.0,4.0,$150001 - $200000
362,Senior Software Engineer - AI/ML,,Mayo Clinic,"On-Site,Remote",1.0,Full-Time,"$134,888 - $195,624 a year",Rochester,MN,134888.0,195624.0,per year,165256.0,165256.0,4.0,$150001 - $200000
364,"Senior Consultant, Advanced Technologies, Case Insights",3.0,"Epiq Systems, Inc.",Remote,2.0,Full-Time,"$105,711.30 - $211,422.00 a year - Full-time",,,105711.3,211422.0,per year,158566.65,158566.65,4.0,$150001 - $200000
365,Principal Cyber Data Scientist,3.0,Expel,"On-Site,Remote",1.0,Full-Time,"$163,000 - $236,000 a year",Herndon,VA,163000.0,236000.0,per year,199500.0,199500.0,4.0,$150001 - $200000
366,Data Scientist Engineer,4.0,Baer Group,"On-Site,Remote",1.0,Full-Time,N/A,Atlanta,GA,,,,,,,
367,"VP of Engineering, Data and AI",3.9,Headspace,Remote,2.0,Full-Time,"$164,880 - $300,000 a year",,,164880.0,300000.0,per year,232440.0,232440.0,5.0,$200001 - $250000
368,Senior Statistical Programmer - FSP,3.7,IQVIA,Remote,2.0,Full-Time,"$106,200 - $177,000 a year - Full-time",,,106200.0,177000.0,per year,141600.0,141600.0,3.0,$100001 - $150000
369,Senior Digital Insights and Analytics Analyst,3.8,Constellation Brands,Remote,2.0,Full-Time,"$79,800 - $167,700 a year - Full-time",,,79800.0,167700.0,per year,123750.0,123750.0,3.0,$100001 - $150000
370,Level III Responsible Artificial Intelligence Project Manager,3.4,Absolute Business Solutions Corp,Remote,2.0,Full-Time,N/A,N/A,,,,,,,,
371,"Manager, Software Engineering (Machine Learning/ LLM)",3.9,Salesloft,"On-Site,Remote",1.0,Full-Time,N/A,Atlanta,GA,,,,,,,
372,"Vice President, Data Solutions",3.4,Bixal,Remote,2.0,Full-Time,N/A,N/A,,,,,,,,
